종목코드,종목명,업종,현재가,PER,PBR,ROE(%),PEG,배당률(%),시가총액(억),1개월_수익률(%),3개월_수익률(%),5개월_수익률(%)
053610,프로텍,기타,68400.0,15.79,1.77,11.21,1.41,0.0,61.56,10.86,-8.06,-12.08
001680,대상,기타,17810.0,-2.11,0.6,0.0,0.0,0.0,61.71,-0.39,11.45,-14.58
383800,LX홀딩스,기타,8030.0,4.6,0.31,6.74,0.68,0.0,61.25,-1.71,13.42,-12.62
102710,이엔에프테크놀로지,기타,43150.0,11.87,1.38,11.63,1.02,0.0,61.65,-8.19,-0.58,-30.96
002840,미원상사,기타,136000.0,14.84,1.48,9.97,1.49,0.0,61.2,1.12,21.0,-6.53
014820,동원시스템즈,기타,21500.0,11.72,0.73,6.23,1.88,0.0,62.33,-2.05,19.71,-24.43
248070,솔루엠,기타,12750.0,49.23,1.28,2.6,18.93,0.0,60.97,-3.48,-16.67,-35.9
358570,지아이이노베이션,기타,9360.0,-8.41,17.24,0.0,0.0,0.0,60.39,17.0,-3.51,-42.89
126340,비나텍,기타,84700.0,-95.38,7.15,0.0,0.0,0.0,60.82,28.92,5.61,-35.83
222080,SFA넥셀,기타,7730.0,20.84,1.18,5.66,3.68,0.0,60.12,-1.9,-6.87,-54.87
033240,자화전자,기타,27700.0,12.88,1.28,9.94,1.3,0.0,59.85,-10.36,2.21,-44.04
079900,전진건설로봇,기타,41250.0,19.09,3.85,20.17,0.95,0.0,60.19,21.5,12.24,-38.34
475830,오름테라퓨틱,기타,26550.0,-13.17,4.31,0.0,0.0,0.0,57.75,-62.45,-46.15,-69.93
046890,서울반도체,기타,10330.0,-11.71,0.94,0.0,0.0,0.0,60.23,6.49,-3.73,-28.95
108320,LX세미콘,기타,36100.0,7.1,0.52,7.32,0.97,0.0,58.71,-3.22,-5.5,-45.05
094170,동운아나텍,기타,27750.0,0.0,0.0,0.0,0.0,0.0,58.03,-12.46,-7.35,-40.45
075580,세진중공업,기타,10210.0,11.46,2.54,22.16,0.52,0.0,58.04,-3.22,-22.06,-52.51
253590,네오셈,기타,13180.0,108.03,4.7,4.35,24.83,0.0,57.82,19.17,20.04,-31.28
025540,한국단자,기타,56600.0,5.45,0.49,8.99,0.61,0.0,57.25,0.53,-14.76,-34.11
050890,쏠리드,기타,9420.0,15.78,1.6,10.14,1.56,0.0,57.23,2.95,-11.96,-43.86
016380,KG스틸,기타,5680.0,4.21,0.27,6.41,0.66,0.0,56.81,-0.35,12.48,-12.75
077360,덕산하이메탈,기타,12370.0,-5.3,2.72,0.0,0.0,0.0,56.21,25.46,20.68,-25.62
336370,솔루스첨단소재,기타,7950.0,-10.8,1.05,0.0,0.0,0.0,55.82,7.29,-3.05,-49.04
079940,가비아,기타,41200.0,35.3,3.04,8.61,4.1,0.0,55.29,-10.43,39.66,36.2
045100,한양이엔지,기타,32150.0,13.86,0.84,6.06,2.29,0.0,56.26,6.63,18.63,-8.01
114090,GKL,기타,8980.0,11.8,1.26,10.68,1.1,0.0,55.55,-3.13,-13.32,-23.96
052400,코나아이,기타,38050.0,7.45,2.11,28.32,0.26,0.0,55.41,-4.16,-3.55,-35.62
001510,SK증권,기타,2395.0,19.79,0.83,4.19,4.72,0.0,55.4,-9.45,0.0,-50.57
178920,PI첨단소재,기타,18590.0,23.35,1.62,6.94,3.36,0.0,54.59,-1.33,0.0,-28.36
003300,한일홀딩스,기타,17710.0,17.29,0.33,1.91,9.05,0.0,54.6,-3.17,14.78,1.43
192650,드림텍,기타,8140.0,8140.0,1.44,0.02,407000.0,0.0,53.63,60.87,93.81,18.49
005810,풍산홀딩스,기타,37400.0,7.24,0.44,6.08,1.19,0.0,53.92,-3.73,8.41,-20.59
284740,쿠쿠홈시스,기타,23850.0,4.48,0.49,10.94,0.41,0.0,53.51,3.47,16.34,-3.64
001270,부국증권,기타,51000.0,14.94,0.54,3.61,4.14,0.0,52.89,-7.44,-7.1,-31.64
002350,넥센타이어,기타,5490.0,3.79,0.27,7.12,0.53,0.0,53.62,-16.06,-13.54,-28.98
456160,지투지바이오,기타,32000.0,-2.26,-1.66,0.0,0.0,0.0,53.21,-14.67,-11.11,-60.88
060250,NHN KCP,기타,13440.0,11.91,1.72,14.44,0.82,0.0,53.98,-13.62,12.0,-34.28
490470,세미파이브,기타,15610.0,-7.89,2.4,0.0,0.0,0.0,53.11,3.17,-24.77,-58.48
058650,세아홀딩스,기타,130200.0,8.06,0.23,2.85,2.83,0.0,52.8,-2.03,17.83,-17.49
452260,한화갤러리아,기타,2700.0,158.82,0.64,0.4,397.05,0.0,52.34,37.06,33.33,-22.41
007700,F&F홀딩스,기타,13600.0,4.23,0.23,5.44,0.78,0.0,53.2,-4.02,-5.75,-31.86
001530,DI동일,기타,25700.0,-55.63,1.03,0.0,0.0,0.0,53.24,4.47,25.67,-20.31
144960,뉴파워프라즈마,기타,11870.0,60.87,1.68,2.76,22.05,0.0,51.86,21.25,67.89,77.43
052020,에스티큐브,기타,7710.0,-24.02,7.26,0.0,0.0,0.0,52.42,-8.43,-12.39,-62.02
009520,포스코엠텍,기타,12670.0,905.0,4.72,0.52,1740.38,0.0,52.76,-1.17,8.85,-37.43
